No,Code,Company Name,Listing Date,Shares,Listing Board
301,MBSS,Mitrabahtera Segara Sejati Tbk.,06 Apr 2011,"1,750,026,639",Main
302,MBTO,Martina Berto Tbk.,13 Jan 2011,"1,070,000,000",Main
303,MCOR,Bank China Construction Bank Indonesia Tbk.,03 Jul 2007,"37,540,533,209",Main
304,MDIA,Intermedia Capital Tbk.,11 Apr 2014,"39,215,538,400",Watchlist
305,MDKA,Merdeka Copper Gold Tbk.,19 Jun 2015,"24,110,850,771",Main
306,MDLN,Modernland Realty Tbk.,18 Jan 1993,"12,533,067,322",Main
307,MDRN,Modern Internasional Tbk.,16 Jul 1991,"7,632,167,798",Watchlist
308,MEDC,Medco Energi Internasional Tbk.,12 Oct 1994,"25,136,231,252",Main
309,MEGA,Bank Mega Tbk.,17 Apr 2000,"11,623,514,905",Main
310,MERK,Merck Tbk.,23 Jul 1981,"448,000,000",Development
311,META,Nusantara Infrastructure Tbk.,18 Jul 2001,"17,710,708,194",Main
312,MFIN,Mandala Multifinance Tbk.,06 Sep 2005,"2,650,000,000",Development
313,MFMI,Multifiling Mitra Indonesia Tbk.,29 Dec 2010,"757,581,000",Development
314,MGNA,Magna Investama Mandiri Tbk.,08 Jul 2014,"3,410,475,410",Watchlist
315,MICE,Multi Indocitra Tbk.,21 Dec 2005,"600,000,000",Development
316,MIDI,Midi Utama Indonesia Tbk.,30 Nov 2010,"33,435,294,800",Development
317,MIKA,Mitra Keluarga Karyasehat Tbk.,24 Mar 2015,"14,246,349,500",Main
318,MIRA,Mitra International Resources Tbk.,30 Jan 1997,"3,961,452,039",Watchlist
319,MITI,Mitra Investindo Tbk.,16 Jul 1997,"3,540,735,503",Development
320,MKPI,Metropolitan Kentjana Tbk.,10 Jul 2009,"948,194,000",Development
321,MLBI,Multi Bintang Indonesia Tbk.,15 Dec 1981,"2,107,000,000",Main
322,MLIA,Mulia Industrindo Tbk.,17 Jan 1994,"6,615,000,000",Development
323,MLPL,Multipolar Tbk.,06 Nov 1989,"15,682,323,987",Main
324,MLPT,Multipolar Technology Tbk.,08 Jul 2013,"1,875,000,000",Main
325,MMLP,Mega Manunggal Property Tbk.,12 Jun 2015,"6,889,134,608",Main
326,MNCN,Media Nusantara Citra Tbk.,22 Jun 2007,"15,049,787,710",Main
327,MPMX,Mitra Pinasthika Mustika Tbk.,29 May 2013,"4,462,963,276",Main
328,MPPA,Matahari Putra Prima Tbk.,21 Dec 1992,"12,966,640,084",Main
329,MRAT,Mustika Ratu Tbk.,27 Jul 1995,"428,000,000",Main
330,MREI,Maskapai Reasuransi Indonesia Tbk.,04 Sep 1989,"517,791,681",Development
331,MSKY,MNC Sky Vision Tbk.,09 Jul 2012,"1,994,370,480",Main
332,MTDL,Metrodata Electronics Tbk.,09 Apr 1990,"12,276,884,585",Main
333,MTFN,Capitalinc Investment Tbk.,16 Apr 1990,"31,842,082,852",Watchlist
334,MTLA,Metropolitan Land Tbk.,20 Jun 2011,"7,655,126,330",Main
335,MTSM,Metro Realty Tbk.,08 Jan 1992,"232,848,000",Development
336,MYOH,Samindo Resources Tbk.,27 Jul 2000,"2,206,312,500",Main
337,MYOR,Mayora Indah Tbk.,04 Jul 1990,"22,358,699,725",Main
338,MYRX,Hanson International Tbk.,31 Oct 1990,"86,703,220,792",Watchlist
339,MYTX,Asia Pacific Investama Tbk.,10 Oct 1989,"7,747,281,949",Watchlist
340,OMRE,Indonesia Prima Property Tbk.,22 Agt 1994,"2,945,211,000",Development
341,PADI,Minna Padi Investama Sekuritas Tbk.,09 Jan 2012,"11,307,246,524",Watchlist
342,PALM,Provident Investasi Bersama Tbk.,08 Oct 2012,"7,119,540,356",Development
343,PANR,Panorama Sentrawisata Tbk.,18 Sep 2001,"1,200,000,000",Main
344,PANS,Panin Sekuritas Tbk.,31 May 2000,"720,000,000",Main
345,PBRX,Pan Brothers Tbk.,16 Agt 1990,"21,482,028,246",Main
346,PDES,Destinasi Tirta Nusantara Tbk.,08 Jul 2008,"715,000,000",Development
347,PEGE,Panca Global Kapital Tbk.,24 Jun 2005,"2,833,417,056",Development
348,PGAS,Perusahaan Gas Negara Tbk.,15 Dec 2003,"24,241,508,196",Main
349,PGLI,Pembangunan Graha Lestari Indah Tbk.,05 Apr 2000,"488,000,000",Development
350,PICO,Pelangi Indah Canindo Tbk.,23 Sep 1996,"568,375,000",Development
351,PJAA,Pembangunan Jaya Ancol Tbk.,02 Jul 2004,"1,599,999,996",Main
352,PKPK,Perdana Karya Perkasa Tbk.,11 Jul 2007,"1,200,000,000",Development
353,PLAS,Polaris Investama Tbk.,16 Mar 2001,"1,184,200,000",Watchlist
354,PLIN,Plaza Indonesia Realty Tbk.,15 Jun 1992,"3,550,000,000",Main
355,PNBN,Bank Pan Indonesia Tbk.,29 Dec 1982,"23,837,645,998",Main
356,PNBS,Bank Panin Dubai Syariah Tbk.,15 Jan 2014,"38,425,504,906",Main
357,PNIN,Paninvest Tbk.,20 Sep 1983,"4,068,323,920",Main
358,PNLF,Panin Financial Tbk.,14 Jun 1983,"32,022,073,293",Main
359,PNSE,Pudjiadi & Sons Tbk.,01 May 1990,"797,813,496",Watchlist
360,POLY,Asia Pacific Fibers Tbk.,12 Mar 1991,"2,495,753,334",Watchlist
361,PSDN,Prasidha Aneka Niaga Tbk.,18 Oct 1994,"1,440,000,000",Development
362,PSKT,Red Planet Indonesia Tbk.,19 Sep 1995,"10,351,231,636",Development
363,PTBA,Bukit Asam Tbk.,23 Dec 2002,"11,520,659,250",Main
364,PTIS,Indo Straits Tbk.,12 Jul 2011,"550,165,300",Main
365,PTPP,PP (Persero) Tbk.,09 Feb 2010,"6,199,897,354",Main
366,PTRO,Petrosea Tbk.,21 May 1990,"1,008,605,000",Main
367,PTSN,Sat Nusapersada Tbk.,08 Nov 2007,"5,314,344,000",Main
368,PTSP,Pioneerindo Gourmet International Tbk.,30 May 1994,"220,808,000",Development
369,PUDP,Pudjiadi Prestige Tbk.,18 Nov 1994,"329,560,000",Main
370,PWON,Pakuwon Jati Tbk.,09 Oct 1989,"48,159,602,400",Main
371,PYFA,Pyridam Farma Tbk.,16 Oct 2001,"535,080,000",Development
372,RAJA,Rukun Raharja Tbk.,19 Apr 2006,"4,227,082,500",Main
373,RALS,Ramayana Lestari Sentosa Tbk.,24 Jul 1996,"7,096,000,000",Main
374,RANC,Supra Boga Lestari Tbk.,07 Jun 2012,"1,564,487,500",Development
375,RBMS,Ristia Bintang Mahkotasejati Tbk.,19 Dec 1997,"2,656,212,826",Watchlist
376,RDTX,Roda Vivatex Tbk,14 May 1990,"268,800,000",Main
377,RELI,Reliance Sekuritas Indonesia Tbk.,13 Jul 2005,"1,800,000,000",Main
378,RICY,Ricky Putra Globalindo Tbk,22 Jan 1998,"641,717,510",Main
379,RIGS,Rig Tenders Indonesia Tbk.,05 Mar 1990,"609,130,000",Development
380,RIMO,Rimo International Lestari Tbk.,10 Nov 2000,"45,080,600,000",Watchlist
381,RMBA,Bentoel Internasional Investama Tbk.,05 Mar 1990,"36,401,136,250",Watchlist
382,SCMA,Surya Citra Media Tbk.,16 Jul 2002,"73,970,569,505",Main
383,SCPI,Organon Pharma Indonesia Tbk.,08 Jun 1990,"3,600,000",Watchlist
384,SDMU,Sidomulyo Selaras Tbk.,12 Jul 2011,"1,135,225,000",Development
385,SDPC,Millennium Pharmacon International Tbk.,07 May 1990,"1,274,000,000",Main
386,SDRA,Bank Woori Saudara Indonesia 1906 Tbk.,15 Dec 2006,"8,482,552,020",Main
387,SGRO,Sampoerna Agro Tbk.,18 Jun 2007,"1,818,622,000",Main
388,SHID,Hotel Sahid Jaya International Tbk.,08 May 1990,"1,119,326,168",Development
389,SIDO,Industri Jamu dan Farmasi Sido Tbk.,18 Dec 2013,"30,000,000,000",Main
390,SILO,Siloam International Hospitals Tbk.,12 Sep 2013,"13,006,125,000",Main
391,SIMA,Siwani Makmur Tbk,03 Jun 1994,"442,589,871",Watchlist
392,SIMP,Salim Ivomas Pratama Tbk.,09 Jun 2011,"15,816,310,000",Main
393,SIPD,Sreeya Sewu Indonesia Tbk.,27 Dec 1996,"1,839,102,056",Development
394,SKBM,Sekar Bumi Tbk.,28 Sep 2012,"1,730,103,217",Development
395,SKLT,Sekar Laut Tbk.,08 Sep 1993,"690,740,500",Development
396,SKYB,Northcliff Citranusa Indonesia Tbk.,07 Jul 2010,"585,000,000",Watchlist
397,SMAR,Sinar Mas Agro Resources and Technology Tbk.,20 Nov 1992,"2,872,193,366",Development
398,SMBR,Semen Baturaja Tbk.,28 Jun 2013,"9,932,534,336",Main
399,SMCB,Solusi Bangun Indonesia Tbk.,10 Agt 1977,"9,019,381,973",Main
400,SMDM,Suryamas Dutamakmur Tbk.,12 Oct 1995,"4,772,138,237",Development
401,SMDR,Samudera Indonesia  Tbk.,05 Jul 1999,"16,375,600,000",Main
402,SONA,Sona Topas Tourism Industry Tbk.,21 Jul 1992,"331,200,000",Watchlist
403,SPMA,Suparma Tbk.,16 Nov 1994,"3,154,092,216",Main
404,SQMI,Wilton Makmur Indonesia Tbk.,15 Jul 2004,"15,537,591,429",Development
405,SRAJ,Sejahteraraya Anugrahjaya Tbk.,11 Apr 2011,"12,000,705,445",Main
406,SRIL,Sri Rejeki Isman Tbk.,17 Jun 2013,"20,452,176,844",Watchlist
407,SRSN,Indo Acidatama Tbk.,11 Jan 1993,"6,020,000,000",Watchlist
408,SRTG,Saratoga Investama Sedaya Tbk.,26 Jun 2013,"13,564,835,000",Main
409,SUPR,Solusi Tunas Pratama Tbk.,11 Oct 2011,"1,137,579,698",Watchlist
410,TALF,Tunas Alfin Tbk.,17 Jan 2014,"1,353,435,000",Watchlist
411,TARA,Agung Semesta Sejahtera Tbk.,11 Jul 2014,"10,069,645,750",Watchlist
412,TAXI,Express Transindo Utama Tbk.,02 Nov 2012,"10,223,647,156",Watchlist
413,TBIG,Tower Bersama Infrastructure Tbk.,26 Oct 2010,"22,656,999,445",Main
414,TIRA,Tira Austenite Tbk.,27 Jul 1993,"588,000,000",Watchlist
415,TIRT,Tirta Mahakam Resources Tbk.,13 Dec 1999,"1,011,774,750",Watchlist
416,TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,03 Apr 1990,"3,113,223,570",Main
417,TLKM,Telkom Indonesia (Persero) Tbk.,14 Nov 1995,"99,062,216,600",Main
418,TMAS,Temas Tbk.,09 Jul 2003,"57,051,500,000",Main
419,TMPO,Tempo Intimedia Tbk.,08 Jan 2001,"1,058,333,250",Development
420,TOBA,TBS Energi Utama Tbk.,06 Jul 2012,"8,106,700,622",Main
421,TOTL,Total Bangun Persada Tbk.,25 Jul 2006,"3,410,000,000",Main
422,TOTO,Surya Toto Indonesia Tbk.,30 Oct 1990,"10,320,000,000",Development
423,TOWR,Sarana Menara Nusantara Tbk.,08 Mar 2010,"51,014,625,000",Main
424,TPIA,Chandra Asri Petrochemical Tbk.,26 May 2008,"86,511,545,092",Development
425,TPMA,Trans Power Marine Tbk.,20 Feb 2013,"2,633,300,000",Development
426,TRAM,Trada Alam Minera Tbk.,10 Sep 2008,"49,643,627,934",Watchlist
427,TRIL,Triwira Insanlestari Tbk.,28 Jan 2008,"1,200,000,000",Watchlist
428,TRIM,Trimegah Sekuritas Indonesia Tbk.,31 Jan 2000,"7,109,300,000",Main
429,TRIO,Trikomsel Oke Tbk.,14 Apr 2009,"26,007,494,645",Watchlist
430,TRIS,Trisula International Tbk.,28 Jun 2012,"3,141,443,831",Development
431,TRST,Trias Sentosa Tbk.,02 Jul 1990,"2,808,000,000",Watchlist
432,TRUS,Trust Finance Indonesia Tbk.,28 Nov 2002,"800,000,000",Development
433,UNVR,Unilever Indonesia Tbk.,11 Jan 1982,"38,150,000,000",Main
434,VICO,Victoria Investama Tbk.,08 Jul 2013,"15,217,075,658",Main
435,VINS,Victoria Insurance Tbk.,28 Sep 2015,"1,460,573,616",Development
436,VIVA,Visi Media Asia Tbk.,21 Nov 2011,"16,464,270,400",Watchlist
437,VOKS,Voksel Electric Tbk.,20 Dec 1990,"4,155,602,595",Main
438,VRNA,Mizuho Leasing Indonesia Tbk.,25 Jun 2008,"5,687,353,997",Development
439,WAPO,Wahana Pronatural Tbk.,22 Jun 2001,"1,240,923,111",Development
440,WEHA,WEHA Transportasi Indonesia Tbk.,31 May 2007,"1,460,554,819",Main
441,WICO,Wicaksana Overseas International Tbk.,08 Agt 1994,"2,393,710,348",Watchlist
442,WIIM,Wismilak Inti Makmur Tbk.,18 Dec 2012,"2,099,873,760",Main
443,WIKA,Wijaya Karya (Persero) Tbk.,29 Oct 2007,"8,969,951,372",Main
444,WINS,Wintermar Offshore Marine Tbk.,29 Nov 2010,"4,359,412,057",Main
445,WOMF,Wahana Ottomitra Multiartha Tbk.,13 Dec 2004,"3,481,481,480",Main
446,WSKT,Waskita Karya (Persero) Tbk.,19 Dec 2012,"28,806,807,016",Main
447,WTON,Wijaya Karya Beton Tbk.,08 Apr 2014,"8,715,466,600",Main
448,YPAS,Yanaprima Hastapersada Tbk.,05 Mar 2008,"668,000,089",Development
449,YULE,Yulie Sekuritas Indonesia Tbk.,10 Dec 2004,"1,785,000,000",Development
450,ZBRA,Dosni Roha Indonesia Tbk.,01 Agt 1991,"2,510,706,263",Development
451,SHIP,Sillo Maritime Perdana Tbk.,16 Jun 2016,"2,719,790,000",Main
452,CASA,Capital Financial Indonesia Tbk.,19 Jul 2016,"54,476,269,803",Development
453,DAYA,Duta Intidaya Tbk.,28 Jun 2016,"2,420,547,025",Development
454,DPUM,Dua Putra Utama Makmur Tbk.,08 Dec 2015,"4,175,000,000",Watchlist
455,IDPR,Indonesia Pondasi Raya Tbk.,10 Dec 2015,"2,003,000,000",Main
456,JGLE,Graha Andrasentra Propertindo Tbk.,29 Jun 2016,"22,581,909,405",Watchlist
457,KINO,Kino Indonesia Tbk.,11 Dec 2015,"1,428,571,500",Main
458,MARI,Mahaka Radio Integra Tbk.,11 Feb 2016,"5,252,644,000",Development
459,MKNT,Mitra Komunikasi Nusantara Tbk.,26 Oct 2015,"5,500,000,000",Watchlist
460,MTRA,Mitra Pemuda Tbk.,10 Feb 2016,"770,000,000",Watchlist
461,OASA,Maharaksa Biru Energi Tbk.,18 Jul 2016,"6,347,220,000",Development
462,POWR,Cikarang Listrindo Tbk.,14 Jun 2016,"16,087,156,000",Main
463,INCF,Indo Komoditi Korpora Tbk.,06 Sep 2016,"1,438,370,465",Development
464,WSBP,Waskita Beton Precast Tbk.,20 Sep 2016,"54,555,721,325",Watchlist
465,PBSA,Paramita Bangun Sarana Tbk.,28 Sep 2016,"3,000,000,000",Main
466,PRDA,Prodia Widyahusada Tbk.,07 Dec 2016,"937,500,000",Main
467,BOGA,Bintang Oto Global Tbk.,19 Dec 2016,"3,803,526,210",Development
468,BRIS,Bank Syariah Indonesia Tbk.,09 May 2018,"45,667,877,639",Main
469,PORT,Nusantara Pelabuhan Handal Tbk.,16 Mar 2017,"2,813,941,985",Development
470,CARS,Industri dan Perdagangan Bintraco Dharma Tbk.,10 Apr 2017,"15,000,000,000",Main
471,MINA,Sanurhasta Mitra Tbk.,28 Apr 2017,"6,562,500,000",Development
472,FORZ,Forza Land Indonesia Tbk.,28 Apr 2017,"1,984,009,887",Watchlist
473,CLEO,Sariguna Primatirta Tbk.,05 May 2017,"12,000,000,000",Main
474,TAMU,Pelayaran Tamarin Samudra Tbk.,10 May 2017,"37,500,000,000",Watchlist
475,CSIS,Cahayasakti Investindo Sukses Tbk.,10 May 2017,"1,307,000,000",Development
476,TGRA,Terregra Asia Energy Tbk.,16 May 2017,"2,750,000,000",Watchlist
477,FIRE,Alfa Energi Investama Tbk.,09 Jun 2017,"1,475,363,179",Development
478,TOPS,Totalindo Eka Persada Tbk.,16 Jun 2017,"33,330,000,000",Watchlist
479,KMTR,Kirana Megatara Tbk.,19 Jun 2017,"8,215,366,379",Development
480,ARMY,Armidian Karyatama Tbk.,21 Jun 2017,"9,006,250,000",Watchlist
481,MAPB,MAP Boga Adiperkasa Tbk.,21 Jun 2017,"2,387,922,900",Development
482,WOOD,Integra Indocabinet Tbk.,21 Jun 2017,"6,437,500,000",Main
483,HRTA,Hartadinata Abadi Tbk.,21 Jun 2017,"4,605,262,400",Main
484,MABA,Marga Abhinaya Abadi Tbk.,22 Jun 2017,"15,365,229,912",Watchlist
485,HOKI,Buyung Poetra Sembada Tbk.,22 Jun 2017,"9,677,752,680",Main
486,MPOW,Megapower Makmur Tbk.,05 Jul 2017,"816,997,053",Development
487,MARK,Mark Dynamics Indonesia Tbk.,12 Jul 2017,"3,800,000,310",Main
488,NASA,Andalan Perkasa Abadi Tbk.,07 Agt 2017,"11,004,929,322",Watchlist
489,MDKI,Emdeki Utama Tbk.,25 Sep 2017,"2,530,150,002",Main
490,BELL,Trisula Textile Industries Tbk.,03 Oct 2017,"7,250,000,000",Development
491,KIOS,Kioson Komersial Indonesia Tbk.,05 Oct 2017,"1,075,862,411",Development
492,GMFI,Garuda Maintenance Facility Aero Asia Tbk.,10 Oct 2017,"28,233,511,500",Watchlist
493,MTWI,Malacca Trust Wuwungan Insurance Tbk.,12 Oct 2017,"2,924,486,639",Development
494,ZINC,Kapuas Prima Coal Tbk.,16 Oct 2017,"25,250,000,000",Watchlist
495,MCAS,M Cash Integrasi Tbk.,01 Nov 2017,"867,933,300",Main
496,PPRE,PP Presisi Tbk.,24 Nov 2017,"10,224,271,000",Main
497,WEGE,Wijaya Karya Bangunan Gedung Tbk.,30 Nov 2017,"9,572,000,000",Main
498,PSSI,IMC Pelita Logistik Tbk.,05 Dec 2017,"5,417,063,153",Main
499,MORA,Mora Telematika Indonesia Tbk.,08 Agt 2022,"23,646,668,691",Main
500,DWGL,Dwi Guna Laksana Tbk.,13 Dec 2017,"9,252,820,991",Development
501,PBID,Panca Budi Idaman Tbk.,13 Dec 2017,"1,875,000,000",Main
502,JMAS,Asuransi Jiwa Syariah Jasa Mitra Abadi Tbk.,18 Dec 2017,"1,000,000,000",Development
503,CAMP,Campina Ice Cream Industry Tbk.,19 Dec 2017,"5,885,000,000",Main
504,IPCM,Jasa Armada Indonesia Tbk.,22 Dec 2017,"5,284,811,100",Main
505,PCAR,Prima Cakrawala Abadi Tbk.,29 Dec 2017,"1,166,666,700",Development
506,LCKM,LCK Global Kedaton Tbk.,16 Jan 2018,"1,000,000,000",Watchlist
507,BOSS,Borneo Olah Sarana Sukses Tbk.,15 Feb 2018,"1,400,000,000",Watchlist
508,HELI,Jaya Trishindo Tbk.,27 Mar 2018,"832,862,387",Development
509,JSKY,Sky Energy Indonesia Tbk.,28 Mar 2018,"2,032,540,000",Watchlist
510,INPS,Indah Prakasa Sentosa Tbk.,06 Apr 2018,"650,000,000",Development
511,GHON,Gihon Telekomunikasi Indonesia Tbk.,09 Apr 2018,"550,000,000",Main
512,TDPM,Tridomain Performance Materials Tbk.,09 Apr 2018,"10,485,050,500",Watchlist
513,DFAM,Dafam Property Indonesia Tbk.,27 Apr 2018,"1,899,852,850",Development
514,NICK,Charnic Capital Tbk.,02 May 2018,"651,150,000",Development
515,BTPS,Bank BTPN Syariah Tbk.,08 May 2018,"7,626,663,000",Main
516,SPTO,Surya Pertiwi Tbk.,14 May 2018,"2,700,000,000",Main
517,PRIM,Royal Prima Tbk.,15 May 2018,"3,393,434,905",Development
518,HEAL,Medikaloka Hermina Tbk.,16 May 2018,"14,967,599,095",Main
519,TRUK,Guna Timur Raya Tbk.,23 May 2018,"435,000,000",Development
520,PZZA,Sarimelati Kencana Tbk.,23 May 2018,"3,021,875,000",Main
521,TUGU,Asuransi Tugu Pratama Indonesia Tbk.,28 May 2018,"3,555,575,600",Main
522,MSIN,MNC Digital Entertainment Tbk.,08 Jun 2018,"12,135,235,641",Main
523,SWAT,Sriwahana Adityakarta Tbk.,08 Jun 2018,"3,019,200,000",Development
524,KPAL,Steadfast Marine Tbk.,08 Jun 2018,"1,069,009,400",Watchlist
525,TNCA,Trimuda Nuansa Citra Tbk.,28 Jun 2018,"421,640,000",Development
526,MAPA,Map Aktif Adiperkasa Tbk.,05 Jul 2018,"28,504,000,000",Main
527,TCPI,Transcoal Pacific Tbk.,06 Jul 2018,"5,000,000,000",Development
528,IPCC,Indonesia Kendaraan Terminal Tbk.,09 Jul 2018,"1,818,384,820",Main
529,RISE,Jaya Sukses Makmur Sentosa Tbk.,09 Jul 2018,"10,945,000,000",Development
530,BPTR,Batavia Prosperindo Trans Tbk.,09 Jul 2018,"3,534,000,000",Main
531,POLL,Pollux Properties Indonesia Tbk.,11 Jul 2018,"8,318,823,600",Development
532,NFCX,NFC Indonesia Tbk.,12 Jul 2018,"666,667,500",Development
533,MGRO,Mahkota Group Tbk.,12 Jul 2018,"3,554,445,700",Main
534,NUSA,Sinergi Megah Internusa Tbk.,12 Jul 2018,"7,700,000,148",Watchlist
535,FILM,MD Pictures Tbk.,07 Agt 2018,"9,511,217,000",Main
536,ANDI,Andira Agro Tbk.,16 Agt 2018,"9,350,000,000",Watchlist
537,LAND,Trimitra Propertindo Tbk.,23 Agt 2018,"2,792,620,000",Watchlist
538,MOLI,Madusari Murni Indah Tbk.,30 Agt 2018,"2,724,036,581",Development
539,PANI,Pantai Indah Kapuk Dua Tbk.,18 Sep 2018,"13,530,000,000",Development
540,DIGI,Arkadia Digital Media Tbk.,18 Sep 2018,"1,625,000,000",Watchlist
541,CITY,Natura City Developments Tbk.,28 Sep 2018,"5,405,188,966",Main
542,SAPX,Satria Antaran Prima Tbk.,03 Oct 2018,"833,333,300",Development
543,KPAS,Cottonindo Ariesta Tbk.,05 Oct 2018,"768,043,253",Watchlist
544,SURE,Super Energy Tbk.,05 Oct 2018,"1,497,576,771",Watchlist
545,HKMU,HK Metals Utama Tbk.,09 Oct 2018,"3,221,750,000",Watchlist
546,MPRO,Maha Properti Indonesia Tbk.,09 Oct 2018,"9,942,500,000",Development
547,DUCK,Jaya Bersama Indo Tbk.,10 Oct 2018,"1,283,330,000",Watchlist
548,GOOD,Garudafood Putra Putri Jaya Tbk.,10 Oct 2018,"36,897,901,455",Main
549,SKRN,Superkrane Mitra Utama Tbk.,11 Oct 2018,"7,500,000,000",Development
550,YELO,Yelooo Integra Datanet Tbk.,29 Oct 2018,"1,912,774,405",Development
551,CAKK,Cahayaputra Asa Keramik Tbk.,31 Oct 2018,"1,203,300,219",Development
552,SATU,Kota Satu Properti Tbk.,05 Nov 2018,"1,375,000,000",Development
553,SOSS,Shield On Service Tbk.,06 Nov 2018,"767,310,816",Development
554,DEAL,Dewata Freightinternational Tbk.,11 Nov 2018,"1,146,170,959",Watchlist
555,POLA,Pool Advista Finance Tbk.,16 Nov 2018,"2,729,385,300",Development
556,DIVA,Distribusi Voucher Nusantara Tbk.,27 Nov 2018,"1,428,571,400",Development
557,LUCK,Sentral Mitra Informatika Tbk.,28 Nov 2018,"715,749,640",Development
558,URBN,Urban Jakarta Propertindo Tbk.,10 Dec 2018,"3,232,122,640",Development
559,SOTS,Satria Mega Kencana Tbk.,10 Dec 2018,"1,000,000,075",Development
560,ZONE,Mega Perintis Tbk.,12 Dec 2018,"870,171,478",Development
561,PEHA,Phapros Tbk.,26 Dec 2018,"840,000,000",Main
562,FOOD,Sentra Food Indonesia Tbk.,08 Jan 2019,"650,000,000",Development
563,BEEF,Estika Tata Tiara Tbk.,10 Jan 2019,"7,031,371,419",Development
564,POLI,Pollux Hotels Group Tbk.,10 Jan 2019,"2,010,526,400",Development
565,CLAY,Citra Putra Realty Tbk.,18 Jan 2019,"2,570,000,000",Watchlist
566,NATO,Surya Permata Andalan Tbk.,18 Jan 2019,"8,001,111,504",Development
567,JAYA,Armada Berjaya Trans Tbk.,21 Feb 2019,"795,638,404",Development
568,COCO,Wahana Interfood Nusantara Tbk.,20 Mar 2019,"889,863,981",Development
569,MTPS,Meta Epsi Tbk.,10 Apr 2019,"2,084,850,829",Watchlist
570,CPRI,Capri Nusa Satu Properti Tbk.,11 Apr 2019,"2,433,379,958",Watchlist
571,HRME,Menteng Heritage Realty Tbk.,12 Apr 2019,"5,958,750,000",Watchlist
572,KJEN,Krida Jaringan Nusantara Tbk.,01 Jul 2019,"500,000,000",Development
573,KAYU,Darmi Bersaudara Tbk.,04 Jul 2019,"665,000,000",Development
574,ITIC,Indonesian Tobacco Tbk.,04 Jul 2019,"940,720,000",Development
575,PAMG,Bima Sakti Pertiwi Tbk.,05 Jul 2019,"3,125,000,000",Main
576,IPTV,MNC Vision Networks Tbk.,08 Jul 2019,"42,197,950,841",Main
577,BLUE,Berkah Prima Perkasa Tbk.,08 Jul 2019,"418,000,000",Development
578,ENVY,Envy Technologies Indonesia Tbk.,08 Jul 2019,"1,800,000,000",Watchlist
579,HDIT,Hensel Davest Indonesia Tbk.,12 Jul 2019,"1,524,680,000",Main
580,KEEN,Kencana Energi Lestari Tbk.,02 Sep 2019,"3,666,312,500",Main
581,BAPI,Bhakti Agung Propertindo Tbk.,16 Sep 2019,"5,591,980,103",Watchlist
582,TFAS,Telefast Indonesia Tbk.,17 Sep 2019,"1,666,666,500",Development
583,GGRP,Gunung Raja Paksi Tbk.,19 Sep 2019,"12,111,376,157",Development
584,OPMS,Optima Prima Metal Sinergi Tbk.,23 Sep 2019,"1,000,000,000",Development
585,NZIA,Nusantara Almazia Tbk.,25 Sep 2019,"2,197,540,705",Main
586,ESIP,Sinergi Inti Plastindo Tbk.,14 Nov 2019,"1,109,943,081",Development
587,TEBE,Dana Brata Luhur Tbk.,18 Nov 2019,"1,285,000,000",Main
588,KEJU,Mulia Boga Raya Tbk.,25 Nov 2019,"1,500,000,000",Development
589,PSGO,Palma Serasih Tbk.,25 Nov 2019,"18,850,000,000",Main
590,AGAR,Asia Sejahtera Mina Tbk.,02 Dec 2019,"1,000,000,000",Watchlist
591,IFSH,Ifishdeco Tbk.,05 Dec 2019,"2,125,000,000",Development
592,REAL,Repower Asia Indonesia Tbk.,06 Dec 2019,"6,633,610,151",Watchlist
593,IFII,Indonesia Fibreboard Industry Tbk.,10 Dec 2019,"9,412,000,000",Main
594,PMJS,Putra Mandiri Jembar Tbk.,18 Dec 2019,"13,755,600,000",Development
595,UCID,Uni-Charm Indonesia Tbk.,20 Dec 2019,"4,156,572,300",Main
596,GLVA,Galva Technologies Tbk.,23 Dec 2019,"1,500,000,000",Development
